From Date,To Date,AT,BP,NO,NO2,NOx,Ozone,PM10,RH,SO2,SR,PM2.5
09-02-2017 16:00,10-02-2017 00:00,12.95,735.54,37.55,106.6,146.8,35.99,248.16,58.53,47.5,15.06,81.63
10-02-2017 00:00,10-02-2017 08:00,7.52,736.01,23.99,87.75,110.94,6.51,285.2,79.67,26.26,6.99,24.5
10-02-2017 08:00,10-02-2017 16:00,16.73,734.12,12.43,55.42,66.35,72.21,312.96,45.77,25.98,324.26,16.22
10-02-2017 16:00,11-02-2017 00:00,12.84,735.54,108.15,89.09,227.05,29.27,255.66,55.03,28.27,13.19,51.41
11-02-2017 00:00,11-02-2017 08:00,6.74,735.89,70.11,62.06,151.04,5.64,274.46,76.87,27.04,6.72, 
11-02-2017 08:00,11-02-2017 16:00,18.56,733.32,7.88,42.01,48.15,97.78,242.83,36.83,28.88,324.11,46.88
11-02-2017 16:00,12-02-2017 00:00,20.68,735,2.64,49.66,47.87,114.19,181,25,27.64,66, 
12-02-2017 00:00,12-02-2017 08:00, , , , , , , , , , , 
12-02-2017 08:00,12-02-2017 16:00,22.3,733.67,3.73,54.54,53.72,128.01,214.3,32.03,25.24,329.38,122.35
12-02-2017 16:00,13-02-2017 00:00,13.97,735.77,106.77,95.11,230.31,33.03,337.36,59.41,28.45,16.33,86.15
13-02-2017 00:00,13-02-2017 08:00,7.49,736.25,106.39,71.69,209.19,5.07,281.03,80.73,22.88,7.07, 
13-02-2017 08:00,13-02-2017 16:00,19.49,733.64,19.42,48.33,69.53,100.71,281.94,39.11,22.17,320.29,125.53
13-02-2017 16:00,14-02-2017 00:00,14.96,735.33,61.78,122.58,193.65,35.57,269.89,53.8,28.88,13.81,42.38
14-02-2017 00:00,14-02-2017 08:00,8.51,736.03,31.7,102.81,134.88,5.96,292.9,77.25,24.74,7.01,202.73
14-02-2017 08:00,14-02-2017 16:00,19.46,733.19,11.62,62.88,71.89,105,365.5,39.54,21.8,323.64,153.26
14-02-2017 16:00,15-02-2017 00:00,15.54,735.41,47.07,115.37,167.09,34.52,266.05,53.22,29.61,21.45,35.24
15-02-2017 00:00,15-02-2017 08:00,9.63,735.85,41.83,99.55,145.83,6.08,283.98,72.43,28.19,6.62,33.33
15-02-2017 08:00,15-02-2017 16:00,20.91,734.25,10.3,58.95,66.59,110.87,351.05,38.06,28.11,321.27,104.75
15-02-2017 16:00,16-02-2017 00:00,17.48,735.67,49.6,115.55,170.69,39.39,281.5,51.23,34.54,14.57,121.57
16-02-2017 00:00,16-02-2017 08:00,11.98,736.11,35.23,91.22,129.39,14.61,258.06,69.34,27.73,7.46,126.79
16-02-2017 08:00,16-02-2017 16:00,22.03,734.41,10.28,60.11,67.61,90.87,316.96,34.74,24.87,290.41,118.85
16-02-2017 16:00,17-02-2017 00:00,18.89,734.99,6.88,99.4,97.96,65.75,269.08,48.57,33.74,17.15,139.82
17-02-2017 00:00,17-02-2017 08:00,13.49,735.46,4.98,72.44,71.32,41.51,206.75,64.27,28.62,7.86,89.67
17-02-2017 08:00,17-02-2017 16:00,20.54,734.68,8.2,61.58,66.06,110.51,339.96,45.26,26.1,251.26,115.69
17-02-2017 16:00,18-02-2017 00:00,18.64,735.16,21.61,93.66,112.93,36.42,234.42,57.52,27.41,19.5,98.18
18-02-2017 00:00,18-02-2017 08:00,12.82,735.98,35.04,80.34,119.43,8.32,236.45,81.49,26.87,7.08,102.82
18-02-2017 08:00,18-02-2017 16:00,22.4, ,9.61,53.9,61.14,125.91,262.93,41.57,21.29,297.96,113.93
18-02-2017 16:00,19-02-2017 00:00,20.31,735.48,57.16,104.24,170.94,35.83,278.56,53.96,31.05,21.12,112.07
19-02-2017 00:00,19-02-2017 08:00,14.29,736.05,77.69,81.88,179.06,7.81,252.2,79.29,23.62,8.58,99.34
19-02-2017 08:00,19-02-2017 16:00,25.33,733.99,6.95,49.59,53.68,133.82,218.12,38.55,21.6,323.04, 
19-02-2017 16:00,20-02-2017 00:00, , , , , , , , , , , 
20-02-2017 00:00,20-02-2017 08:00,10.8, ,218.32,62.15,353.55,9.99,271.79,57.33,17.32,6.46, 
20-02-2017 08:00,20-02-2017 16:00,27.31,733.92,10.78,47.54,57.13,131.13,349.13,31.27,20.02,315.05,56.61
20-02-2017 16:00,21-02-2017 00:00,22.27,735.24,139.29,90.24,270.53,30.64,393.63,43.79,35.12,18.34,145.13
21-02-2017 00:00,21-02-2017 08:00,15.15,736.03,3.17,50.49,49.29,32.93,260.86,73.58,22.35,7.94,111.65
21-02-2017 08:00,21-02-2017 16:00,20.41,734.47,3.93,33.65,35.34,110.78,474.54,53.42,23.73,302.51,123.39
21-02-2017 16:00,22-02-2017 00:00,17.51,735.5,93.44,84.53,202.87,48.23,289.75,57.96,32.2,22.47,114.65
22-02-2017 00:00,22-02-2017 08:00,11.61,736.05,124.45,59.65,223.11,11.88,218.33,82.14,26.47,7.2,99.81
22-02-2017 08:00,22-02-2017 16:00,23.27,733.92,19.74,45.94,67.85,149.62,386.67,33.52,17.06,337.51,93.55
22-02-2017 16:00,23-02-2017 00:00,17.62,735.68,20.21,80.15,99,53.83,246.14,41.07,29.7,16.78,82.88
23-02-2017 00:00,23-02-2017 08:00,10.67,736.39,18.98,74.73,92.48,12.57,212.35,57.83,26.75,7.19,88.86
23-02-2017 08:00,23-02-2017 16:00,15.2,735.2,16.57,62.6,78.42,68.33,412.12,44.3,34.29,281.43,162.8
23-02-2017 16:00,24-02-2017 00:00, , , , , , , , , , , 
24-02-2017 00:00,24-02-2017 08:00, , , , , , , , , , , 
24-02-2017 08:00,24-02-2017 16:00, , , , , , , , , , , 
24-02-2017 16:00,25-02-2017 00:00, , , , , , , , , , , 
25-02-2017 00:00,25-02-2017 08:00, , , , , , , , , , , 
25-02-2017 08:00,25-02-2017 16:00, , , , , , , , , , , 
25-02-2017 16:00,26-02-2017 00:00, , , , , , , , , , , 
26-02-2017 00:00,26-02-2017 08:00, , , , , , , , , , , 
26-02-2017 08:00,26-02-2017 16:00,23.75,733.09,1.38,23.55,22.87,177.85,247.59,26.19,22.4,384.08,57.55
26-02-2017 16:00,27-02-2017 00:00,17.73,735.67,25.83,75.16,102.22,67.89,232.1,40.39,32.91,16.02,78.25
